"KEY","ATOM_NAME","DESCRIPTION","UPDATED_AT","REFERENCE","TEXT","ID",
"cladding","cladding","LRMl Editor - Stefan",2023-03-02 21:14:39.082674000,"NZ_NZBC-G12AS2#3.12","cladding",2359,
"waterPipeCircuit","waterPipeCircuit","LRMl Editor - ",2023-03-02 21:29:19.905665000,"NZ_NZBC-G12AS2#3.12","water pipe circuit",2361,
"supportPoint","supportPoint","LRMl Editor - ",2023-03-02 23:49:10.186213000,"NZ_NZBC-G12AS2#3.12","support point",2367,
"screw","screw","LRMl Editor - ",2023-03-03 00:04:36.527133000,"NZ_NZBC-G12AS2#3.12","screw",2369,
"bolt","bolt","LRMl Editor - ",2023-03-03 00:17:06.183619000,"NZ_NZBC-G12AS2#3.12","bolt",2371,
"timberSection","timberSection","LRMl Editor - ",2023-03-03 00:26:50.346164000,"NZ_NZBC-G12AS2#3.12","timber section",2372,
"end","end","LRMl Editor - ",2023-03-03 00:27:42.896551000,"NZ_NZBC-G12AS2#3.12","end",2373,
"mounting","mounting","LRMl Editor - ",2023-03-03 01:09:31.857905000,"NZ_NZBC-G12AS2#3.12","mounting",2374,
"connection","connection","LRMl Editor - ",2023-03-03 01:31:53.228942000,"NZ_NZBC-G12AS2#3.12","connection",2375,
"truss","truss","LRMl Editor - ",2023-03-03 01:31:53.358429000,"NZ_NZBC-G12AS2#3.12","truss",2376,
"rafter","rafter","LRMl Editor - ",2023-03-03 01:32:22.928450000,"NZ_NZBC-G12AS2#3.12","rafter",2377,
"supportRail","supportRail","LRMl Editor - ",2023-03-03 01:33:39.288258000,"NZ_NZBC-G12AS2#3.12","support rail",2378,
"purlin","purlin","LRMl Editor - ",2023-03-03 01:33:53.823633000,"NZ_NZBC-G12AS2#3.12","purlin",2379,
"edge","edge","LRMl Editor - ",2023-03-03 02:16:51.569649000,"NZ_NZBC-G12AS2#3.12","edge",2380,
"outsideEdge","outsideEdge","LRMl Editor - ",2023-03-03 02:17:14.031725000,"NZ_NZBC-G12AS2#3.12","outside edge",2381,
"width","width","LRMl Editor - ",2023-03-03 02:17:49.919987000,"NZ_NZBC-G12AS2#3.12","width",2382,
"pitch","pitch","LRMl Editor - ",2023-03-03 02:19:55.571506000,"NZ_NZBC-G12AS2#3.12","pitch",2383,
"panel","panel","LRMl Editor - ",2023-03-03 02:32:22.570393000,"NZ_NZBC-G12AS2#3.12","panel",2384,
"angleStrut","angleStrut","LRMl Editor - ",2023-03-03 02:32:42.499953000,"NZ_NZBC-G12AS2#3.12","angle strut",2385,
"solarWaterHeatingSystem","solarWaterHeatingSystem","LRMl Editor - ",2023-03-03 03:55:05.537280000,"NZ_NZBC-G12AS2#3.12","solar water heating system",2386,
"content","content","LRMl Editor - ",2023-03-03 04:01:20.194427000,"NZ_NZBC-G12AS2#3.12","content",2388,
"pipework","pipework","LRMl Editor - ",2023-03-03 20:40:55.259977000,"NZ_NZBC-G13AS1#2.7","pipework",2391,
"sanitaryPlumbingSystem","sanitaryPlumbingSystem","LRMl Editor - ",2023-03-03 21:08:41.649515000,"NZ_NZBC-G13AS1#2.7","sanitary plumbing system",2393,
"waterTrap","waterTrap","LRMl Editor - ",2023-03-03 21:12:29.219550000,"NZ_NZBC-G13AS1#2.7","water trap",2395,
"grating","grating","LRMl Editor - Stefan",2023-03-04 22:38:13.389646000,"NZ_NZBC-G13AS1#2.7","grating",2401,
"flushType","flushType","LRMl Editor - Stefan",2023-03-04 22:38:35.384646000,"NZ_NZBC-G13AS1#2.7","flush type",2402,
